guideline_id,filename,guideline_name,icd10,age_category,file_size_bytes,sha256,candidate_section_count,candidate_chunk_count
218_2,218_2.pdf,Гонококковая инфекция,A54,"Взрослые, дети",1174845,ac71c043f7885140ad3459fc0c833692186855324be2c099a96fb930bf13718a,49,72
21_3,21_3.pdf,Наружный отит,"H60.0, H60.1, H60.2, H60.3, H60.5, H60.8, H60.9, H61.0, H61.8, H61.9, H62.0, H62.1, H62.2, H62.3, H62.4, H62.8",Дети,623969,82e163cbcc933c2db45851ac768326de723c0bee6eca441c0535e732a127fe5a,29,58
220_2,220_2.pdf,Контагиозный моллюск,B08.1,"Взрослые, дети",1168964,c68c369a160639bb4064a49617250ad81cc5772781a12d1c2ec193a9b119e7c4,22,28
222_2,222_2.pdf,Красная волчанка,L93,"Взрослые, дети",1026815,6a4ae57091ccc866d1974bae1a3c0be96c848b37d5fac38eb979b57821277ace,21,41
223_2,223_2.pdf,Грибовидный микоз,C84.0,"Взрослые, дети",21260374,f7201c331c843367f73b94cc292349f9129bbd7b2036783b74490a589272498f,1,0
224_2,224_2.pdf,Разноцветный лишай,B36.0,"Взрослые, дети",1142466,d012d35817b812e6e1cc5645d649217c92871ba21d3419b934bf7217e780ea97,21,32
229_3,229_3.pdf,Ожирение у детей,"E66.0, E66.1, E66.2, E66.8, E66.9, E67.8",Дети,3499214,cbf1e3d12aab36e729b5cdc0e59fc0f217ecd6240f9e16aaaba142405712d94c,29,92
22_3,22_3.pdf,Нейросенсорная тугоухость у детей,"H90.3, H90.4, H90.5",Дети,1767720,6495974dda8d5cfe756782b8d03c9a1370449ca36454d10365c54be02ed3a8d6,20,90
231_2,231_2.pdf,Буллезный пемфигоид,L12.0,"Взрослые, дети",344803,d67a7fa86b8c0b13f02904d22fcc27e0a5fb7a5e4ddd2e023eada45a4c7781d1,22,37
232_2,232_2.pdf,Пиодермии,"L00, L01, L02, L08.0, L08.8, L08.9, L73.8, L73.9, L74.0, L74.1, L74.3, L74.8, P39.4","Взрослые, дети",925307,553897c2cc5fd8207f8e4816776ce12b33916c92f9d3914d686948edc807ef10,18,45
234_2,234_2.pdf,Псориаз,"L40.0, L40.1, L40.2, L40.3, L40.4, L40.8, L40.9","Взрослые, дети",2509885,3d6898782990ba325e29011ae5cffc639a2f306cf32a730347989e96b5a8d62b,24,94
237_6,237_6.pdf,Рак пищевода и кардии,"C15, C16.0",Взрослые,1700977,6abe24b66985920d4c1a1f171eb091baf912f2c17842fc073649348b74df1c94,1,106
238_2,238_2.pdf,Саркома Капоши,"B21.0, C46.0, C46.1, C46.2, C46.3, C46.7, C46.8, C46.9",Взрослые,970734,fe02082c73f5251e1debbb55d8ff7b6e1c4daf13542b2ad4fd679aa7011bd999,28,65
241_3,241_3.pdf,Урогенитальный трихомониаз,A59,"Взрослые, дети",1017300,ed7162799f23c64c3d7d6323d80c81ee35c58cea1203b919be5d63a96dabe11b,32,52
246_3,246_3.pdf,Экзема ,L30,"Взрослые, дети",632018,13c5a52f5a18c01083d3069357f91978f2eab0715b91670e494c2fddcc9587a6,22,66
249_2,249_2.pdf,Грипп,"J09, J10, J11",Дети,805168,52edb539b37edb5a02f5edcf0996cbe3be921f4347517f7cd84f328181ee4932,21,73
24_2,24_2.pdf,Другие сфинголипидозы (болезнь Гоше),E75.2,Дети,1374664,10700cb5e1986b0ba3fbe1ce0c1ccc2707250c6c80d4f5fb40a46f2988d7a835,30,84
250_3,250_3.pdf,Ревматоидный артрит,"M05, M06",Взрослые,1754923,120876c4d7aee196450c4b7b587cdbf8a7326fccff70133f9467e55255fe8eb5,40,134
256_2,256_2.pdf,Полиартроз (генерализованный остеоартрит),"M15.0, M15.1, M15.2, M15.4, M15.8",Взрослые,2773097,07ecdc5297be6ae3dc46a8d083c00f3fa2bf263eb14e8fa9b337c470945a8fb4,42,175
257_2,257_2.pdf,Миома матки,"D25, D26, D39.0, O34.1","Взрослые, дети",838760,344bdf366d0f53c304fcebaf5b064fefe44e7b89e6655a96694a50e4c4695f10,24,47
259_2,259_2.pdf,Эндометриоз,N80,"Взрослые, дети",1748775,c63b9319d37d6668a6963f689e0ff83d3f9de72c69229d77e4c4771c4a8be36a,31,63
25_2,25_2.pdf,Острая респираторная вирусная инфекция (ОРВИ),"J00, J02.9, J04.0, J04.1, J04.2, J06.0, J06.9",Дети,814273,a786e1eba84be85a9b99496eaa9d3a2258a3f2b4f93da63917a5c64b9ee17f7e,24,56
260_2,260_2.pdf,Врожденная цитомегаловирусная инфекция ,P35.1,Дети,1880850,13907c74fecf8266f9f3376352c3149109b4c57249e6f568386e72d8a97737ba,19,71
261_2,261_2.pdf,Аллергический ринит,"J30.1, J30.2, J30.3, J30.4","Взрослые, дети",1464009,8f2d05e0389ef607dafb6ede6e482119c52e7fb33259746c8a9be6e01f494e60,30,105
