Торговое наименование,МНН (группировочное или химическое наименование),Лекарственная форма,Дозировка,Исключение отдельных групп пациентов
Максиколд® для детей,Ибупрофен,суспензия для приема внутрь,100 мг/5 мл,
Ибупрофен,Ибупрофен,суспензия для приема внутрь,100 мг/5 мл,Пациенты с редкой врожденной непереносимостью фруктозы.
Ибупрофен-ВЕРТЕКС,Ибупрофен,капсулы,200 мг,
Ибупрофен,Ибупрофен,капсулы,200 мг,
НЕКСТ УНО ЭКСПРЕСС,Ибупрофен,капсулы,200 мг,
Ибупрофен Канон,Ибупрофен,капсулы,"200 мг, 400 мг",
Экстрафен Кронофарм,Ибупрофен,капсулы,"200 мг, 400 мг",
Ибупрофен ЭкстраКап®,Ибупрофен,капсулы,"200 мг, 400 мг",
Деблок,Ибупрофен,"таблетки, покрытые пленочной оболочкой",200 мг,"Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Адвил МАКСИМУМ,Ибупрофен,капсулы,400 мг,
НЕКСТ УНО ЭКСПРЕСС ФОРТЕ,Ибупрофен,капсулы,400 мг,
Нурофаст®,Ибупрофен,капсулы,400 мг,
Ибупрофен,Ибупрофен,"таблетки, покрытые оболочкой",200 мг,
Адвил,Ибупрофен,"таблетки, покрытые пленочной оболочкой",400 мг,
Ибупрофен МАХ,Ибупрофен,"таблетки, покрытые пленочной оболочкой",400 мг,
МИГ® 400,Ибупрофен,"таблетки, покрытые пленочной оболочкой",400 мг,
ИБУПРОФЕН,Ибупрофен,"таблетки, покрытые пленочной оболочкой","200 мг, 400 мг",
Ибупрофен,Ибупрофен,"таблетки, покрытые пленочной оболочкой","200 мг, 400 мг",
Ибупрофен Реневал,Ибупрофен,"таблетки, покрытые пленочной оболочкой","200 мг, 400 мг",
Ибупирин,Ибупрофен,"таблетки, покрытые пленочной оболочкой","200 мг, 400 мг","Пациенты с непереносимостью лактозы, дефицитом лактазы, глюкозо-галактозной мальабсорбцией"
Ибупрофен Фармасинтез,Ибупрофен,"таблетки, покрытые пленочной оболочкой","200 мг, 400 мг",
Семавик®,Семаглутид,раствор для подкожного введения,0.25/0.5/1 мг/доза,
Инсудайв,Семаглутид,раствор для подкожного введения,0.25/0.5/1 мг/доза,
Семвелика,Семаглутид,раствор для подкожного введения,0.25/0.5/1 мг/доза,
Дэглюнорм,Семаглутид,раствор для подкожного введения,0.25/0.5/1 мг/доза,
СЕГЛУРИЯ,Семаглутид,раствор для подкожного введения,0.25/0.5/1 мг/доза,
АМЕГЛУТАР®,Семаглутид,раствор для подкожного введения,0.25/0.5/1 мг/доза,
Селмиджи,Семаглутид,раствор для подкожного введения,0.25/0.5/1 мг/доза,
Семуглин,Семаглутид,раствор для подкожного введения,0.25/0.5/1 мг/доза,
Квинсента,Семаглутид,раствор для подкожного введения,0.25/0.5/1 мг/доза,
Семальтара®,Семаглутид,таблетки,"3 мг, 7 мг, 14 мг",
Солосептин сенс,Бензилдиметил-миристоиламино-пропиламмоний,"капли глазные, ушные и назальные",0.01%,
МИТРАСЕПТИН®-ОфтальмоЛОР,Бензилдиметил-миристоиламино-пропиламмоний,"капли глазные, ушные и назальные",0.01%,
Барицитиниб Фармасинтез,Барицитиниб,"таблетки, покрытые пленочной оболочкой","2 мг, 4 мг",
Барицитиниб,Барицитиниб,"таблетки, покрытые пленочной оболочкой","2 мг, 4 мг",
Тамсулозин Канон,Тамсулозин,капсулы кишечнорастворимые с пролонгированным высвобождением,0.4 мг,"Пациенты с дефицитом сахаразы/изомальтазы, непереносимостью фруктозы, глюкозо-галактозной мальабсорбцией"
