Торговое наименование,МНН (группировочное или химическое наименование),Лекарственная форма,Дозировка,Исключение отдельных групп пациентов
Манаплон,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
Алгелдрат+Магния гидроксид,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
Астрамаг,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
Гастрасан® ЮжФарм,Алгелдрат+Магния гидроксид,суспензия для приема внутрь,,
Гастрацид,Алгелдрат+Магния гидроксид,таблетки жевательные,400 мг+400 мг,
Аджифлюкс,Алгелдрат+Магния гидроксид,таблетки жевательные,,
Маалокс,Алгелдрат+Магния гидроксид,таблетки жевательные,,
Мальвацид®,Алгелдрат+Магния гидроксид,таблетки жевательные,400 мг+400 мг,
Алгелдрат + Магния гидроксид,Алгелдрат+Магния гидроксид,таблетки жевательные,400 мг+400 мг,
Би-Коден,Алгелдрат+Магния гидроксид,таблетки жевательные,400 мг+400 мг,
Магаплон,Алгелдрат+Магния гидроксид,таблетки жевательные,400 мг+400 мг,
Астрамаг,Алгелдрат+Магния гидроксид,таблетки жевательные,400 мг+400 мг,
МАЛГИДРАТ,Алгелдрат+Магния гидроксид,таблетки жевательные,400 мг+400 мг,
Нейтралакс,Алгелдрат+Магния гидроксид,таблетки жевательные,400 мг+400 мг,
БИОЛЕК Туберкулин ППД-Л,Аллерген туберкулезный для диагностики,раствор для внутрикожного введения,2 ТЕ/доза,
Аллерген туберкулезный очищенный в стандартном разведении (очищенный туберкулин в стандартном разведении),Аллерген туберкулезный для диагностики,раствор для внутрикожного введения,2 ТЕ/0.1 мл,
Алоэ экстракт жидкий,Алоэ древовидного листьев экстракт,раствор для подкожного введения,,
Алоэ экстракт жидкий,Алоэ древовидного листьев экстракт,раствор для подкожного введения,,
Алоэ экстракт жидкий,Алоэ древовидного листьев экстракт,раствор для подкожного введения,,
ВАП 20,Алпростадил,концентрат для приготовления раствора для инфузий,20 мкг/мл,
Вазостенон,Алпростадил,концентрат для приготовления раствора для инфузий,20 мкг/мл,
Вазапростан®,Алпростадил,лиофилизат для приготовления раствора для инфузий,20 мкг/мл,
Вазапростан®,Алпростадил,лиофилизат для приготовления раствора для инфузий,60 мкг,
Артерис-веро®,Алпростадил,лиофилизат для приготовления раствора для инфузий,60 мкг,
АЛПРОСТАДИЛ,Алпростадил,лиофилизат для приготовления раствора для инфузий,"20 мкг, 60 мкг",
Алпростадил,Алпростадил,лиофилизат для приготовления раствора для инфузий,"20 мкг, 60 мкг",
Ангиопрост,Алпростадил,лиофилизат для приготовления раствора для инфузий,"20 мкг, 60 мкг",
АЛПРОСТАДИЛ,Алпростадил,лиофилизат для приготовления раствора для инфузий,"20 мкг, 60 мкг",
Алтайский эликсир,Алтайский экстракт,эликсир,,
Алтайский эликсир,Алтайский экстракт,эликсир,,
Алтея сироп,Алтея корней экстракт,сироп,,
Алтея сироп,Алтея корней экстракт,сироп,,
Алтея сироп,Алтея корней экстракт,сироп,,
Алтея сироп,Алтея корней экстракт,сироп,,
Мукалтинекс,Алтея корней экстракт,сироп,,
Алтея сироп-АКОС,Алтея корней экстракт,сироп,,
Мукалтишка,Алтея корней экстракт,сироп,,
Алтея сироп,Алтея корней экстракт,сироп,,
Микстура от кашля для детей сухая,Алтея лекарственного корней экстракт+Аммония хлорид+Натрия бензоат+Натрия гидрокарбонат+Солодки корней экстракт,порошок для приготовления раствора для приема внутрь,,
Микстура от кашля для детей сухая,Алтея лекарственного корней экстракт+Аммония хлорид+Натрия бензоат+Натрия гидрокарбонат+Солодки корней экстракт,порошок для приготовления раствора для приема внутрь,,
Микстура от кашля для детей сухая,Алтея лекарственного корней экстракт+Аммония хлорид+Натрия бензоат+Натрия гидрокарбонат+Солодки корней экстракт,порошок для приготовления раствора для приема внутрь,,
Микстура от кашля для детей сухая,Алтея лекарственного корней экстракт+Аммония хлорид+Натрия бензоат+Натрия гидрокарбонат+Солодки корней экстракт,порошок для приготовления раствора для приема внутрь,,
Микстура от кашля для детей сухая,Алтея лекарственного корней экстракт+Аммония хлорид+Натрия бензоат+Натрия гидрокарбонат+Солодки корней экстракт,порошок для приготовления раствора для приема внутрь,,
Микстура от кашля для детей сухая,Алтея лекарственного корней экстракт+Аммония хлорид+Натрия бензоат+Натрия гидрокарбонат+Солодки корней экстракт,порошок для приготовления раствора для приема внутрь,,
Микстура от кашля для детей сухая,Алтея лекарственного корней экстракт+Аммония хлорид+Натрия бензоат+Натрия гидрокарбонат+Солодки корней экстракт,порошок для приготовления раствора для приема внутрь,,
Мукалтин-ЛекТ,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин-Акрихин,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин Медисорб,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин Реневал,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки шипучие,100 мг,
Мукалтин Реневал,Алтея лекарственного травы экстракт,таблетки шипучие,50 мг,
Мукалтин,Алтея лекарственного травы экстракт,таблетки диспергируемые,50 мг,
Альбумин,Альбумин человека,раствор для инфузий,0.2,
Альбумин,Альбумин человека,раствор для инфузий,"10%, 5%",
АОСТА®,Альбумин человека,раствор для инфузий,0.2,
Альбумин человеческий,Альбумин человека,раствор для инфузий,0.2,
Альбумин,Альбумин человека,раствор для инфузий,0.1,
Альбумин,Альбумин человека,раствор для инфузий,0.2,
Альбумин,Альбумин человека,раствор для инфузий,"10%, 20%",
Альбумин,Альбумин человека,раствор для инфузий,0.2,
Альбумин Сигардис,Альбумин человека,раствор для инфузий,0.2,
Альбумин,Альбумин человека,раствор для инфузий,"10%, 20%, 5%",
Альбумин,Альбумин человека,раствор для инфузий,0.1,
Альбумин,Альбумин человека,раствор для инфузий,0.2,
Альбуфарм,Альбумин человека,раствор для инфузий,"50 мг/мл, 100 мг/мл, 200 мг/мл, 250 мг/мл",
Альбумин человека,Альбумин человека,раствор для инфузий,"20%, 5%",
Альбумин человеческий,Альбумин человека,раствор для инфузий,"20%, 5%",
Альбумин,Альбумин человека,раствор для инфузий,0.1,
Альбумин,Альбумин человека,раствор для инфузий,"10%, 20%",
Альбумин,Альбумин человека,раствор для инфузий,0.1,
Зенальб-20,Альбумин человека,раствор для инфузий,0.2,
Плазбумин-20,Альбумин человека,раствор для инфузий,0.2,
Уман альбумин,Альбумин человека,раствор для инфузий,"20%, 25%",
Альбиомин 20%,Альбумин человека,раствор для инфузий,0.2,
Альбумин 10%,Альбумин человека,раствор для инфузий,0.1,
Альбурекс,Альбумин человека,раствор для инфузий,0.2,
Альбумин человека,Альбумин человека,раствор для инфузий,0.1,
Цитовир-3,Альфа-глутамил-триптофан+Аскорбиновая кислота+Бендазол,порошок для приготовления раствора для приема внутрь,,
Цитовир-3,Альфа-глутамил-триптофан+Аскорбиновая кислота+Бендазол,сироп,,
Гастал,Алюминия гидроксид-магния карбонат+магния гидроксид,таблетки для рассасывания,,
Гастал,Алюминия гидроксид-магния карбонат+магния гидроксид,таблетки для рассасывания,,
Гастрасан® Адванс,Алюминия гидроксид-магния карбонат+магния гидроксид,таблетки для рассасывания,450 мг+300 мг,
Фосфалюгель,Алюминия фосфат,гель для приема внутрь,,
АЛЮМИНИЯ ФОСФАТ,Алюминия фосфат,гель для приема внутрь,,
Альфосфаль,Алюминия фосфат,гель для приема внутрь,,
ФОСФАЛЮМИН,Алюминия фосфат,гель для приема внутрь,,
АВВАнтацид®,Алюминия фосфат,гель для приема внутрь,,
Алюфост,Алюминия фосфат,гель для приема внутрь,,
Рефлюнорм®,Алюминия фосфат,гель для приема внутрь,,
Фарингосепт,Амбазон,таблетки для рассасывания,10 мг,
Фарингосепт,Амбазон,таблетки для рассасывания,10 мг,
Амбазон,Амбазон,таблетки для рассасывания,10 мг,
Фарингопронт,Амбазон,таблетки для рассасывания,10 мг,
Фарингазон,Амбазон,таблетки для рассасывания,10 мг,
АМБРОКСОЛ,Амброксол,таблетки,30 мг,
Амброксол,Амброксол,таблетки,30 мг,
Амброксол,Амброксол,таблетки,30 мг,
РиниКолд КОФКОМПЛЕКС,Амброксол+Гвайфенезин+Фенилэфрин+Хлорфенамин,сироп,,
Колдакт Бронхо,Амброксол+Гвайфенезин+Фенилэфрин+Хлорфенамин,сироп,,
Горпилс,Амилметакрезол+Дихлорбензиловый спирт,пастилки,,
Стрепсилс с Согревающим эффектом,Амилметакрезол+Дихлорбензиловый спирт,таблетки для рассасывания,,
Гексорал табс классик,Амилметакрезол+Дихлорбензиловый спирт,таблетки для рассасывания,0.6 мг+1.2 мг,
Стрепсилс с охлаждающим эффектом,Амилметакрезол+Дихлорбензиловый спирт,таблетки для рассасывания,,
Суприма-ЛОР,Амилметакрезол+Дихлорбензиловый спирт,таблетки для рассасывания,0.6 мг+1.2 мг,
Колдакт Лорпилс,Амилметакрезол+Дихлорбензиловый спирт,таблетки для рассасывания,,
Стрепсилс,Амилметакрезол+Дихлорбензиловый спирт,таблетки для рассасывания,,
Стрепсилс,Амилметакрезол+Дихлорбензиловый спирт,таблетки для рассасывания,,
Аджисепт,Амилметакрезол+Дихлорбензиловый спирт,леденцы лекарственные,0.6 мг+1.2 мг,
Аджисепт,Амилметакрезол+Дихлорбензиловый спирт,леденцы лекарственные,0.6 мг+1.2 мг,
Астрасепт,Амилметакрезол+Дихлорбензиловый спирт,леденцы лекарственные,0.6 мг+1.2 мг,
Нео-Ангин,Амилметакрезол+Дихлорбензиловый спирт+[Левоментол],таблетки для рассасывания,,
Нео-Ангин,Амилметакрезол+Дихлорбензиловый спирт+[Левоментол],таблетки для рассасывания,,
Стрепсилс c Ментолом и Эвкалиптом,Амилметакрезол+Дихлорбензиловый спирт+[Левоментол],таблетки для рассасывания,,
Стрепсилс Экспресс,Амилметакрезол+Дихлорбензиловый спирт+Лидокаин,таблетки для рассасывания,0.6 мг+1.2 мг+10 мг,
Гексорал табс экстра,Амилметакрезол+Дихлорбензиловый спирт+Лидокаин,таблетки для рассасывания,0.6 мг+1.2 мг+10 мг,
Эксинта,Аминобензойная кислота,капли глазные,0.007%,
Октальмол®,Аминобензойная кислота,капли глазные,0.007%,
Аминокапроновая кислота,Аминокапроновая кислота,раствор для инфузий,50 мг/мл,
Аминокапроновая кислота,Аминокапроновая кислота,раствор для инфузий,50 мг/мл,
Аминокапроновая кислота,Аминокапроновая кислота,раствор для инфузий,50 мг/мл,
Аминокапроновая кислота,Аминокапроновая кислота,раствор для инфузий,50 мг/мл,
Аминокапроновая кислота,Аминокапроновая кислота,раствор для инфузий,50 мг/мл,
Аминокапроновая кислота,Аминокапроновая кислота,раствор для инфузий,50 мг/мл,
Аминокапроновая кислота,Аминокапроновая кислота,раствор для инфузий,50 мг/мл,
Аминокапроновая кислота,Аминокапроновая кислота,раствор для инфузий,50 мг/мл,
